Channel Name,Total Subscribers,Total Views,Total Videos
NoCopyrightSounds,32900000.0,9900000.0,
DanTDM,26300000.0,7900000.0,
KSI,24000000.0,7200000.0,
Mister Max,23000000.0,6900000.0,
Jelly,22900000.0,6900000.0,
Miss Katy,22600000.0,6800000.0,
Dua Lipa,21100000.0,6300000.0,
Dan Rhodes,17700000.0,5300000.0,
Ali-A,17700000.0,5300000.0,
Gaby and Alex,17000000.0,5100000.0,
Sidemen,17000000.0,5100000.0,
Queen Official,16300000.0,4900000.0,
Little Mix,16100000.000000002,4800000.0,
JJ Olatunji,15900000.0,4800000.0,
F2Freestylers - Ultimate Soccer Skills Channel,14000000.0,4200000.0,
BBC News,13300000.0,4000000.0,
BBC,12900000.0,3900000.0,
Awakening Music,12400000.0,3700000.0,
DisneyChannelUK,12300000.0,3700000.0,
colinfurze,11900000.0,3600000.0,
Mrwhosetheboss,11800000.0,3500000.0,
TommyInnit,11700000.0,3500000.0,
Morgz,11600000.0,3500000.0,
Tiana,11400000.0,3400000.0,
DisneyJuniorUK,11200000.0,3400000.0,
Emily Tube,11000000.0,3300000.0,
Slogo,10900000.0,3300000.0,
Jessie J,10400000.0,3100000.0,
Sing King,10200000.0,3100000.0,
BBC News عربي,10100000.0,3000000.0,
Classic Mr Bean,9900000.0,3000000.0,
Syndicate,9700000.0,2900000.0,
Gorillaz,9400000.0,2800000.0,
Woody & Kleiny,9400000.0,2800000.0,
Jungle Beat,9300000.0,2800000.0,
Julius Dein,9200000.0,2800000.0,
The X Factor UK,9100000.0,2700000.0,
English with Lucy,9000000.0,2700000.0,
Shaun the Sheep,8900000.0,2700000.0,
Cartoons for Kids,8700000.0,2600000.0,
Mumbo Jumbo,8500000.0,2600000.0,
Top Gear,8400000.0,2500000.0,
Moonbug Kids - Kids Learning Videos,8300000.000000001,2500000.0,
BBC Radio 1,8100000.0,2400000.0,
Liverpool FC,8000000.0,2400000.0,
Grian,7800000.0,2300000.0,
Daz Games,7600000.0,2300000.0,
Vikkstar123,7600000.0,2300000.0,
PlayToys,7600000.0,2300000.0,
carwow,7500000.0,2200000.0,
Jeremy Lynch,7400000.0,2200000.0,
TomSka,7200000.0,2200000.0,
YOGSCAST Lewis & Simon,7100000.0,2100000.0,
LDShadowLady,7000000.0,2100000.0,
The Beatles,6900000.0,2100000.0,
Passenger,6900000.0,2100000.0,
MessYourself,6900000.0,2100000.0,
MoreSidemen,6800000.0,2000000.0,
Boomerang UK,6800000.0,2000000.0,
James Arthur,6800000.0,2000000.0,
ARPO The Robot,6700000.0,2000000.0,
24 News HD,6700000.0,2000000.0,
RubyandBonnie,6600000.0,2000000.0,
Nickelodeon UK,6600000.0,2000000.0,
Mark Ronson,6500000.0,2000000.0,
Rhia Official,6400000.0,1900000.0,
UKF Dubstep,6300000.0,1900000.0,
TGFbro,6200000.0,1900000.0,
Wilbur Soot,6200000.0,1900000.0,
Russell Brand,6200000.0,1900000.0,
Manchester United,6200000.0,1900000.0,
Pingu - Official Channel,6200000.0,1800000.0,
Mrwhosetheboss Shorts,6100000.0,1800000.0,
Niko Omilana,6000000.0,1800000.0,
Tiana Wilson,5900000.0,1800000.0,
Capital FM,5800000.0,1700000.0,
Simon's Cat,5800000.0,1700000.0,
CGP Grey,5800000.0,1700000.0,
Jamie Oliver,5800000.0,1700000.0,
ChrisMD,5600000.0,1700000.0,
Dumori Bay,5600000.0,1700000.0,
Space Videos,5500000.0,1700000.0,
Real Stories,5500000.0,1700000.0,
More Emily,5400000.0,1600000.0,
GRM Daily,5300000.0,1600000.0,
Joe Weller,5300000.0,1600000.0,
WildBrain Kids,5200000.0,1600000.0,
Sky News,5200000.0,1500000.0,
Jarvis,5000000.0,1500000.0,
Thoughty2,5000000.0,1500000.0,
TheDadLab,5000000.0,1500000.0,
Behzinga,4900000.0,1500000.0,
BBC Learning English,4800000.0,1400000.0,
Max and Katy,4800000.0,1400000.0,
Man City,4800000.0,1400000.0,
Wisp,4700000.0,1400000.0,
WillNE,4700000.0,1400000.0,
Zerkaa,4700000.0,1400000.0,
Ben Phillips,4600000.0,1400000.0,
Roxxsaurus,4500000.0,1400000.0,
